Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
November 24, 2016 12:30 PM,at Lions,-2.5,Vikings,42.5,+113,-125
November 24, 2016 4:30 PM,at Cowboys,-5.5,Redskins,52.5,+210,-250
November 24, 2016 8:30 PM,Steelers,-8.5,at Colts,50.0,-450,+330
November 27, 2016 1:00 PM,at Dolphins,-7.0,49ers,44.5,+290,-350
November 27, 2016 1:00 PM,at Saints,-8.0,Rams,44.5,+300,-400
November 27, 2016 1:00 PM,Chargers,-2.5,at Texans,46.0,-140,+120
November 27, 2016 1:00 PM,at Falcons,-4.0,Cardinals,49.0,+160,-200
November 27, 2016 1:00 PM,at Ravens,-3.5,Bengals,41.5,+160,-180
November 27, 2016 1:00 PM,at Bills,-8.5,Jaguars,44.0,+330,-400
November 27, 2016 1:00 PM,Titans,-6.5,at Bears,42.0,-270,+230
November 27, 2016 1:00 PM,Giants,-6.5,at Browns,46.0,-286,+230
November 27, 2016 4:05 PM,Seahawks,-5.0,at Buccaneers,46.0,-230,+190
November 27, 2016 4:25 PM,Patriots,-9.0,at Jets,48.0,-450,+350
November 27, 2016 4:25 PM,at Raiders,-3.5,Panthers,48.0,+157,-180
November 27, 2016 8:30 PM,at Broncos,-3.5,Chiefs,40.0,+165,-190
November 28, 2016 8:30 PM,at Eagles,-4.0,Packers,47.0,+170,-200
